drugs,title
Trametinib;Palbociclib;Sorafenib;Cetuximab;Cetuximab+Palbociclib;Cetuximab+Trametinib;Cetuximab+Trametinib+Palbociclib,Conditionally reprogrammed colorectal cancer cells combined with mouse avatars identify synergy between EGFR and MEK or CDK4/6 inhibitors
Trametinib;Dasatinib;Trametinib+Dasatinib,Combining MEK and SRC inhibitors for treatment of colorectal cancer demonstrate increased efficacy in vitro but not in vivo
Trametinib;Palbociclib;Trametinib+Palbociclib,Sensitivity of KRAS-Mutant Colorectal Cancers to Combination Therapy That Cotargets MEK and CDK4/6
Trametinib;Palbociclib;Trametinib+Palbociclib,Targeting RAS Mutant Colorectal Cancer with Dual Inhibition of MEK and CDK4/6
Regorafenib;S63845;Regorafenib+S63845,Mcl-1 inhibition overcomes intrinsic and acquired regorafenib resistance in colorectal cancer
Oxaliplatin;Everolimus;Oxaliplatin+Everolimus,Activation of the mTOR Pathway by Oxaliplatin in the Treatment of Colorectal Cancer Liver Metastasis
Tetrandrine,Synergistic effects of tetrandrine combined with ionizing radiation on a murine colorectal carcinoma?bearing mouse model
Irinotecan (Camptothecin),The Synergistic Antitumor Effect of Irinotecan and Flavonoids on Human Colon Cancer Xenograft Mice
Obeticholic acid;nitazoxanide,"Synergistic tumor inhibition of colon cancer cells by nitazoxanide and obeticholic acid, a farnesoid X receptor ligand"
Cetuximab,Significant Therapeutic Efficacy with Combined Radioimmunotherapy and Cetuximab in Preclinical Models of Colorectal Cancer
temozolomide 100,Effect of single and multiple administration of an O?6-benzylguanine/temozolomide combination: an evaluation in a human melanoma xenograft model
oxaliplatin,Synergistic killing of colorectal cancer cells by oxaliplatin and ABT-737
Regorafenib,Therapeutic Efficacy and Inhibitory Mechanism of Regorafenib Combined With Radiation in Colorectal Cancer
Vemurafenib;Irinotecan;cetuximab,Phase IB Study of Vemurafenib in Combination with Irinotecan and Cetuximab in Patients with Metastatic Colorectal Cancer with BRAFV600E Mutation
Dasatinib,"Evaluation of the efficacy of dasatinib, a Src/Abl inhibitor, in colorectal cancer cell lines and explant mouse model"
Cetuximab;Cetuximab+Dasatinib,Dasatinib sensitizes KRAS mutant colorectal tumors to cetuximab
Regorafenib,Regorafenib suppresses epidermal growth factor receptor signaling-modulated progression of colorectal cancer
Regorafenib,Therapeutic Efficacy and Inhibitory Mechanism of Regorafenib Combined With Radiation in Colorectal Cancer
Regorafenib,Regorafenib Inhibits Colorectal Tumor Growth through PUMA-Mediated Apoptosis
Trametinib;ABT263;Trametinib+ABT263,Low?dose trametinib and Bcl?xL antagonist have a specific antitumor effect in KRAS?mutated colorectal cancer cells
Regorafenib;anti-PD1;Regorafenib+aPD1;ISO,Regorafenib enhances anti-PD1 immunotherapy efficacy in murine colorectal cancers and their combination prevents tumor regrowth
Erlotinib;Cetuximab;Cetuximab+BGB-283 (Lifirafenib),"BGB-283, a Novel RAF Kinase and EGFR Inhibitor, Displays Potent Antitumor Activity in?BRAF-Mutated Colorectal Cancers"
Irinotecan;Irinotecan+AZD2014;AZD2014;Oxaliplatin,Synergistic Anti-Tumor Effect of mTOR Inhibitors with Irinotecan on Colon Cancer Cells
Irinotecan,https://www.mdpi.com/2072-6694/11/10/1581
Irinotecan,"Targeting Methionine Addiction Combined With Low-dose Irinotecan Arrested Colon Cancer in Contrast to High-dose Irinotecan Alone, Which Was Ineffective, in a Nude-mouse Model"
Decitabine;anti-PD-1;Decitabine+anti-PD-1,Low-dose decitabine enhances the effect of PD-1 blockade in colorectal cancer with microsatellite stability by re-modulating the tumor microenvironment
Metformin;Metformin+5-FU,Metformin Inhibits Cellular Proliferation and Bioenergetics in Colorectal Cancer Patient?Derived Xenografts
Vincristine;Trametinib;Vincristine+Trametinib,Vincristine Enhances the Efficacy of MEK Inhibitors in Preclinical Models of KRAS-mutant Colorectal Cancer
Eribulin;BKM120;Eribulin+BKM120,PI3K inhibition enhances the anti-tumor effect of eribulin in triple negative breast cancer
Sorafenib;Everolimus;Sorafenib+Everolimus;Docetaxel;Bevacizumab;Docetaxel+Bevacizumab;PX-478;Neratinib;PX-478+Neratinib,Integrative In Vivo Drug Testing Using Gene Expression Signature and Patient-Derived Xenografts from Treatment-Refractory HER2 Positive and Triple-Negative Subtypes of Breast Cancer
Everolimus;Everolimus+AZD2014;AZD2014,Targeting mTOR pathway inhibits tumor growth in different molecular subtypes of triple-negative breast cancers
Everolimus;T-MD1,mTOR Inhibition and T-DM1 in HER2-Positive Breast Cancer
Neratinib;Everolimus;Neratinib+Everolimus;Trametinib;Neratinib+Trametinib;Palbociclib;Neratinib+Palbociclib,"Combining Neratinib with CDK4/6, mTOR, and MEK Inhibitors in Models of HER2-positive Cancer"
Dasatinib;Dasatinib+Cetuximab,Cetuximab PET delineated changes in cellular distribution of EGFR upon dasatinib treatment in triple negative breast cancer
Docetaxel;S63845;Docetaxel+S63845;Trastuzumab;Trastuzumab+S63845,Synergistic action of the MCL-1 inhibitor S63845 with current therapies in preclinical models of triple-negative and HER2-amplified breast cancer
erlotinib;palbociclib;erlotinib+palbociclib,"Expression of MT4-MMP, EGFR, and RB in Triple-Negative Breast Cancer Strongly Sensitizes Tumors to Erlotinib and Palbociclib Combination Therapy"
Gefitinib;FTY720;Gefitinib+FTY720,Inhibition of basal-like breast cancer growth by FTY720 in combination with epidermal growth factor receptor kinase blockade
Eribulin;Palbociclib;Eribulin+Palbociclib;Fulvestrant,"Doublet and Triplet Combinations of Eribulin, Fulvestrant, and Palbociclib in Preclinical Breast Cancer Models"
trametinib,A Population of Heterogeneous Breast Cancer Patient-Derived Xenografts Demonstrate Broad Activity of PARP Inhibitor in BRCA1/2 Wild-Type Tumors?
EC359;Vorinostat;EC359+Vorinostat,LIFR inhibition enhances the therapeutic efficacy of HDAC inhibitors in triple negative breast cancer
EGCG;Temsirolimus;EGCG+Temsirolimus,Dual Fatty Acid Synthase and HER2 Signaling Blockade Shows Marked Antitumor Activity against Breast Cancer Models Resistant to Anti-HER2 Drugs
PF-03084014;Docetaxel;PF-03084014+Docetaxel,Synergistic Effect of the ¥ã-Secretase Inhibitor PF-03084014 and Docetaxel in Breast Cancer Models
DZ-2384;paclitaxel,DZ-2384 has a superior preclinical profile to taxanes for the treatment of triple-negative breast cancer and is synergistic with anti-CTLA-4 immunotherapy
