title,single_drugs_str,single_drugs_norm
Conditionally reprogrammed colorectal cancer cells combined with mouse avatars identify synergy between EGFR and MEK or CDK4/6 inhibitors,Cetuximab; Palbociclib; Sorafenib; Trametinib,cetuximab;palbociclib;sorafenib;trametinib
Combining MEK and SRC inhibitors for treatment of colorectal cancer demonstrate increased efficacy in vitro but not in vivo,Dasatinib; Trametinib,dasatinib;trametinib
Sensitivity of KRAS-Mutant Colorectal Cancers to Combination Therapy That Cotargets MEK and CDK4/6,Palbociclib; Trametinib,palbociclib;trametinib
Targeting RAS Mutant Colorectal Cancer with Dual Inhibition of MEK and CDK4/6,Palbociclib; Trametinib,palbociclib;trametinib
Mcl-1 inhibition overcomes intrinsic and acquired regorafenib resistance in colorectal cancer,Regorafenib; S63845,regorafenib;s63845
Activation of the mTOR Pathway by Oxaliplatin in the Treatment of Colorectal Cancer Liver Metastasis,Everolimus; Oxaliplatin,everolimus;oxaliplatin
Synergistic effects of tetrandrine combined with ionizing radiation on a murine colorectal carcinoma?bearing mouse model,Tetrandrine,tetrandrine
The Synergistic Antitumor Effect of Irinotecan and Flavonoids on Human Colon Cancer Xenograft Mice,Irinotecan (Camptothecin),irinotecan(camptothecin)
"Synergistic tumor inhibition of colon cancer cells by nitazoxanide and obeticholic acid, a farnesoid X receptor ligand",Obeticholic acid; nitazoxanide,obeticholicacid;nitazoxanide
Significant Therapeutic Efficacy with Combined Radioimmunotherapy and Cetuximab in Preclinical Models of Colorectal Cancer,Cetuximab,cetuximab
Effect of single and multiple administration of an O?6-benzylguanine/temozolomide combination: an evaluation in a human melanoma xenograft model,temozolomide 100,temozolomide100
Synergistic killing of colorectal cancer cells by oxaliplatin and ABT-737,oxaliplatin,oxaliplatin
Therapeutic Efficacy and Inhibitory Mechanism of Regorafenib Combined With Radiation in Colorectal Cancer,Regorafenib,regorafenib
Phase IB Study of Vemurafenib in Combination with Irinotecan and Cetuximab in Patients with Metastatic Colorectal Cancer with BRAFV600E Mutation,Irinotecan; Vemurafenib; cetuximab,irinotecan;vemurafenib;cetuximab
"Evaluation of the efficacy of dasatinib, a Src/Abl inhibitor, in colorectal cancer cell lines and explant mouse model",Dasatinib,dasatinib
Dasatinib sensitizes KRAS mutant colorectal tumors to cetuximab,Cetuximab; Dasatinib,cetuximab;dasatinib
