title,single_drugs_str
Conditionally reprogrammed colorectal cancer cells combined with mouse avatars identify synergy between EGFR and MEK or CDK4/6 inhibitors,Cetuximab; Palbociclib; Sorafenib; Trametinib
Combining MEK and SRC inhibitors for treatment of colorectal cancer demonstrate increased efficacy in vitro but not in vivo,Dasatinib; Trametinib
Sensitivity of KRAS-Mutant Colorectal Cancers to Combination Therapy That Cotargets MEK and CDK4/6,Palbociclib; Trametinib
Targeting RAS Mutant Colorectal Cancer with Dual Inhibition of MEK and CDK4/6,Palbociclib; Trametinib
Mcl-1 inhibition overcomes intrinsic and acquired regorafenib resistance in colorectal cancer,Regorafenib; S63845
Activation of the mTOR Pathway by Oxaliplatin in the Treatment of Colorectal Cancer Liver Metastasis,Everolimus; Oxaliplatin
Synergistic effects of tetrandrine combined with ionizing radiation on a murine colorectal carcinoma?bearing mouse model,Tetrandrine
The Synergistic Antitumor Effect of Irinotecan and Flavonoids on Human Colon Cancer Xenograft Mice,Irinotecan (Camptothecin)
"Synergistic tumor inhibition of colon cancer cells by nitazoxanide and obeticholic acid, a farnesoid X receptor ligand",Obeticholic acid; nitazoxanide
Significant Therapeutic Efficacy with Combined Radioimmunotherapy and Cetuximab in Preclinical Models of Colorectal Cancer,Cetuximab
Effect of single and multiple administration of an O?6-benzylguanine/temozolomide combination: an evaluation in a human melanoma xenograft model,temozolomide 100
Synergistic killing of colorectal cancer cells by oxaliplatin and ABT-737,oxaliplatin
Therapeutic Efficacy and Inhibitory Mechanism of Regorafenib Combined With Radiation in Colorectal Cancer,Regorafenib
Phase IB Study of Vemurafenib in Combination with Irinotecan and Cetuximab in Patients with Metastatic Colorectal Cancer with BRAFV600E Mutation,Irinotecan; Vemurafenib; cetuximab
"Evaluation of the efficacy of dasatinib, a Src/Abl inhibitor, in colorectal cancer cell lines and explant mouse model",Dasatinib
Dasatinib sensitizes KRAS mutant colorectal tumors to cetuximab,Cetuximab; Dasatinib
Regorafenib suppresses epidermal growth factor receptor signaling-modulated progression of colorectal cancer,Regorafenib
Therapeutic Efficacy and Inhibitory Mechanism of Regorafenib Combined With Radiation in Colorectal Cancer,Regorafenib
Regorafenib Inhibits Colorectal Tumor Growth through PUMA-Mediated Apoptosis,Regorafenib
Low?dose trametinib and Bcl?xL antagonist have a specific antitumor effect in KRAS?mutated colorectal cancer cells,ABT263; Trametinib
Regorafenib enhances anti-PD1 immunotherapy efficacy in murine colorectal cancers and their combination prevents tumor regrowth,ISO; Regorafenib; aPD1; anti-PD1
"BGB-283, a Novel RAF Kinase and EGFR Inhibitor, Displays Potent Antitumor Activity in?BRAF-Mutated Colorectal Cancers",BGB-283 (Lifirafenib); Cetuximab; Erlotinib
