title,drug
conditionally reprogrammed colorectal cancer cells combined with mouse avatars identify synergy between egfr and mek or cdk4/6 inhibitors,cetuximab;palbociclib;sorafenib;trametinib
combining mek and src inhibitors for treatment of colorectal cancer demonstrate increased efficacy in vitro but not in vivo,dasatinib;trametinib
sensitivity of kras-mutant colorectal cancers to combination therapy that cotargets mek and cdk4/6,palbociclib;trametinib
targeting ras mutant colorectal cancer with dual inhibition of mek and cdk4/6,palbociclib;trametinib
mcl-1 inhibition overcomes intrinsic and acquired regorafenib resistance in colorectal cancer,regorafenib;s63845
activation of the mtor pathway by oxaliplatin in the treatment of colorectal cancer liver metastasis,everolimus;oxaliplatin
synergistic effects of tetrandrine combined with ionizing radiation on a murine colorectal carcinoma?bearing mouse model,tetrandrine
the synergistic antitumor effect of irinotecan and flavonoids on human colon cancer xenograft mice,irinotecan
"synergistic tumor inhibition of colon cancer cells by nitazoxanide and obeticholic acid, a farnesoid x receptor ligand",obeticholic acid;nitazoxanide
significant therapeutic efficacy with combined radioimmunotherapy and cetuximab in preclinical models of colorectal cancer,cetuximab
effect of single and multiple administration of an o?6-benzylguanine/temozolomide combination: an evaluation in a human melanoma xenograft model,temozolomide
synergistic killing of colorectal cancer cells by oxaliplatin and abt-737,oxaliplatin
therapeutic efficacy and inhibitory mechanism of regorafenib combined with radiation in colorectal cancer,regorafenib
phase ib study of vemurafenib in combination with irinotecan and cetuximab in patients with metastatic colorectal cancer with brafv600e mutation,irinotecan;vemurafenib;cetuximab
"evaluation of the efficacy of dasatinib, a src/abl inhibitor, in colorectal cancer cell lines and explant mouse model",dasatinib
dasatinib sensitizes kras mutant colorectal tumors to cetuximab,cetuximab;dasatinib
regorafenib suppresses epidermal growth factor receptor signaling-modulated progression of colorectal cancer,regorafenib
therapeutic efficacy and inhibitory mechanism of regorafenib combined with radiation in colorectal cancer,regorafenib
regorafenib inhibits colorectal tumor growth through puma-mediated apoptosis,regorafenib
low?dose trametinib and bcl?xl antagonist have a specific antitumor effect in kras?mutated colorectal cancer cells,navitoclax;trametinib
regorafenib enhances anti-pd1 immunotherapy efficacy in murine colorectal cancers and their combination prevents tumor regrowth,iso;regorafenib;apd1;anti-pd1
"bgb-283, a novel raf kinase and egfr inhibitor, displays potent antitumor activity in?braf-mutated colorectal cancers",lifirafenib;cetuximab;erlotinib
synergistic anti-tumor effect of mtor inhibitors with irinotecan on colon cancer cells,vistusertib;irinotecan;oxaliplatin
https://www.mdpi.com/2072-6694/11/10/1581,irinotecan
"targeting methionine addiction combined with low-dose irinotecan arrested colon cancer in contrast to high-dose irinotecan alone, which was ineffective, in a nude-mouse model",irinotecan
