drug,title,Generic_Drug_List,normalized
sotorasib,wee1 confers resistance to krasg12c inhibitors in non-small cell lung cancer,SOTORASIB,sotorasib
Palbociclib,palbociclib overcomes afatinib resistance in non-small cell lung cancer,PALBOCICLIB,palbociclib
regorafenib,regorafenib suppresses epidermal growth factor receptor signaling-modulated progression of colorectal cancer,REGORAFENIB,regorafenib
pyrotinib,her2 exon 20 insertions in non-small-cell lung cancer are sensitive to the irreversible pan-her receptor tyrosine kinase inhibitor pyrotinib,PYROTINIB,pyrotinib
Gefitinib,xie-bai-san increases nsclc cells sensitivity to gefitinib by inhibiting beclin-1 mediated autophagosome formation,GEFITINIB,gefitinib
alectinib,rapid acquisition of alectinib resistance in alk-positive lung cancer with high tumor mutation burden,ALECTINIB,alectinib
rapamycin,novel preclinical patient-derived lung cancer models reveal inhibition of her3 and mtor signaling as therapeutic strategies for nrg1 fusion-positive cancers,SIROLIMUS,rapamycin
milademetan,combination therapy with mdm2 and mek inhibitors is effective in patient-derived models of lung adenocarcinoma with concurrent oncogenic drivers and mdm2 amplification,MILADEMETAN,milademetan
doxorubicin,carbon nanotube capsules enhance the in vivo efficacy of cisplatin,DOXORUBICIN,doxorubicin
bevacizumab,discontinuous schedule of bevacizumab in colorectal cancer induces accelerated tumor growth and phenotypic changes,BEVACIZUMAB,bevacizumab
Selinexor,antitumor efficacy of xpo1 inhibitor selinexor in?kras-mutant lung adenocarcinoma patient-derived xenografts,SELINEXOR,selinexor
eribulin,"doublet and triplet combinations of eribulin, fulvestrant, and palbociclib in preclinical breast cancer models",ERIBULIN,eribulin
paclitaxel,patient-derived non-small cell lung cancer xenograft mirrors complex tumor heterogeneity,PACLITAXEL,paclitaxel
Fulvestrant,dual mtor kinase inhibitor mln0128 sensitizes hr+/her2+ breast cancer patient-derived xenografts to trastuzumab or fulvestrant,FULVESTRANT,fulvestrant
Trametinib,sensitivity of kras-mutant colorectal cancers to combination therapy that cotargets mek and cdk4/6,TRAMETINIB,trametinib
Enzalutamide,pharmacological targeting of androgen receptor elicits context-specific effects in estrogen receptor positive breast cancer,ENZALUTAMIDE,enzalutamide
savolitinib,"pharmacokinetic/pharmacodynamic analysis of savolitinib plus osimertinib in an egfr mutation positive, met-amplified non small cell lung cancer model",SAVOLITINIB,savolitinib
C4.4A-ADC,preclinical antitumor efficacy of bay 1129980 a novel auristatin-based anti-c4.4a (lypd3) antibody drug conjugate for the treatment of non small cell lung cancer,C4.4A-ADC,c4.4aadc
Tucatinib,preclinical activity of her2-selective tyrosine kinase inhibitor tucatinib as a single agent or in combination with trastuzumab or docetaxel in solid tumor models,TUCATINIB,tucatinib
irinotecan,"targeting methionine addiction combined with low-dose irinotecan arrested colon cancer in contrast to high-dose irinotecan alone, which was ineffective, in a nude-mouse model",IRINOTECAN,irinotecan
regorafenib,regorafenib inhibits colorectal tumor growth through puma-mediated apoptosis,REGORAFENIB,regorafenib
Everolimus,acquired resistance to endocrine treatments is associated with tumor-specific molecular changes in patient-derived luminal breast cancer xenografts,EVEROLIMUS,everolimus
palbociclib,"expression of mt4-mmp, egfr, and rb in triple-negative breast cancer strongly sensitizes tumors to erlotinib and palbociclib combination therapy",PALBOCICLIB,palbociclib
vistusertib,diverse resistance mechanisms to the third-generation alk inhibitor lorlatinib in alk-rearranged lung cancer,VISTUSERTIB,vistusertib
ONO-7475,"ono-7475, a novel axl inhibitor, suppresses the adaptive resistance to initial egfr-tki treatment in egfr-mutated non small cell lung cancer",TAMNORZATINIB,ono7475
131I-huA5B7,enhancing the therapeutic efficacy of gefitinib in human non-small-cell lung cancer through drug combination,131I-huA5B7,131ihua5b7
erlotinib,3-dimensional patient-derived lung cancer assays reveal resistance to standards-of-care promoted by stromal cells but sensitivity to histone deacetylase inhibitors,ERLOTINIB,erlotinib
Aflibercept,differential antitumor activity of aflibercept and bevacizumab in patient-derived xenograft models of colorectal cancer,AFLIBERCEPT,aflibercept
neratinib,"combining neratinib with cdk4/6, mtor, and mek inhibitors in models of her2-positive cancer",NERATINIB,neratinib
Imclome,"preclinical evaluation and phase ib study of prexasertib, a chk1 inhibitor, and samotolisib (ly3023414), a dual pi3k/mtor inhibitor",Imclome,imclome
CBL0137,the fact inhibitor cbl0137 synergizes with cisplatin in small-cell lung cancer by increasing?notch1?expression and targeting tumor-initiating cells,CBL0137,cbl0137
Irinotecan,phase ib study of vemurafenib in combination with irinotecan and cetuximab in patients with metastatic colorectal cancer with brafv600e mutation,IRINOTECAN,irinotecan
